Province,District,Population
Kigali,Nyarugenge,"  9,022 "
Kigali,Gasabo,"  45,008 "
Kigali,Kicukiro,"  14,094 "
South province,Nyanza,"52,867"
South province,Gisagara,"64,322"
South province,Nyaruguru,"58,368"
South province,Huye,"22,236"
South province,Nyamagabe,"75,571"
South province,Ruhango,"57,733"
South province,Muhanga,"45,626"
South province,Kamonyi,"35,891"
West province,Karongi,"56,889"
West province,Rutsiro,"59,160"
West province,Rubavu,"44,967"
West province,Nyabihu,"59,040"
West province,Ngororero,"50,724"
West province,Rusizi,"42,563"
West province,Nyamasheke,"33,430"
North province,Rulindo,"55,408"
North province,Gakenke,"71,917"
North province,Musanze,"68,893"
North province,Burera,"65,400"
North province,Gicumbi,"71,977"
East province,Rwamagana,"58,987"
East province,Nyagatare,"93,672"
East province,Gatsibo,"101,665"
East province,Kayonza,"85,108"
East province,Kirehe,"72,817"
East province,Ngoma,"55,372"
East province,Bugesera,"31,458"